,Country,Sustainable Competitiveness Rank ,Sustainable Competitiveness Score,Natural capital Rank ,Natural capital Score,Resource Intensity Rank ,Resource Intensity Score,Social Capital Rank ,Social Capital Score,Intellectual Capital Rank ,Intellectual Capital Score,Governance Rank ,Governance Score,,
,Fiji,70,46.9,42,54.0,75,49.7,133,37.7,91,39.3,79,53.6,,
,Ghana,71,46.9,54,51.7,16,58.5,115,39.8,138,30.0,73,54.3,,
,Montenegro,72,46.8,62,50.0,133,40.7,55,49.1,73,41.9,92,52.1,,
,Samoa,73,46.7,44,53.7,37,54.2,142,36.7,95,38.8,108,50.2,,
,Brunei,74,46.7,59,50.7,167,29.6,53,49.7,45,48.0,63,55.5,,
,Indonesia,75,46.5,91,44.1,132,41.2,74,46.1,72,42.1,42,58.7,,
,Kyrgistan,76,46.4,75,47.1,146,37.0,45,51.2,67,43.3,83,53.1,,
,Moldova,77,46.0,119,39.7,137,39.6,47,50.9,99,38.3,22,61.7,,
,Tonga,78,45.9,102,41.4,42,53.9,82,44.3,85,39.9,107,50.2,,
,Turkey,79,45.8,105,41.0,140,38.7,91,43.2,48,47.3,39,59.1,,
,Kazakhstan,80,45.8,100,41.8,170,27.9,50,50.3,46,47.5,23,61.7,,
,Nepal,81,45.5,145,35.8,90,47.9,70,46.7,96,38.7,43,58.6,,
,Suriname,82,45.3,9,62.4,141,38.5,104,41.5,94,39.0,131,45.3,,
,Cote d'Ivoire,83,45.2,53,51.8,26,55.9,153,34.9,147,27.6,61,55.9,,
,Uzbekistan,84,45.2,156,33.6,155,33.7,49,50.5,60,44.3,12,63.8,,
,Dominica,85,45.2,85,45.0,61,50.9,122,38.8,71,42.7,118,48.5,,
,Maldives,86,45.1,166,31.5,60,51.1,11,59.8,101,37.8,130,45.5,,
,El Salvador,87,45.1,125,39.1,3,61.9,79,44.8,158,25.4,71,54.4,,
,Thailand,88,45.0,116,40.0,136,39.8,77,45.6,33,50.6,112,49.2,,
,Mexico,89,44.9,97,42.9,119,43.0,113,40.4,57,44.8,82,53.6,,
,Cameroon,90,44.9,35,56.7,38,54.1,116,39.6,132,31.0,144,43.2,,
,Guyana,91,44.9,33,57.2,121,42.9,121,38.8,100,38.2,123,47.4,,
,Kenya,92,44.8,135,37.9,2,62.3,129,37.8,108,37.1,116,49.0,,
,Burma,93,44.6,26,58.1,115,44.6,117,39.4,134,30.8,106,50.2,,
,Kiribati,94,44.3,157,33.3,12,59.6,138,37.3,88,39.7,94,51.6,,
,Dominican Republic,95,44.0,86,44.7,102,46.4,111,40.5,119,34.7,81,53.6,,
,United Arab Emirates,96,43.9,159,33.3,172,27.2,23,55.8,64,43.8,37,59.2,,
,Sierra Leone,97,43.6,63,49.6,34,54.5,114,39.9,124,32.7,153,41.4,,
,Ethiopia,98,43.4,113,40.4,9,60.5,110,40.7,160,23.5,93,52.1,,
,Laos,99,43.4,1,69.2,142,38.4,120,38.9,151,26.7,138,43.9,,
,Cuba,100,43.4,89,44.3,78,49.2,108,40.8,109,36.4,127,46.4,,
,Vanuatu,101,43.2,108,40.9,30,54.9,144,36.4,117,35.1,117,48.7,,
,Namibia,102,43.1,74,47.4,66,50.7,147,36.2,90,39.5,148,42.0,,
,Morocco,103,43.1,109,40.7,81,48.8,157,34.0,87,39.8,91,52.3,,
,Tajikistan,104,43.1,99,42.4,149,36.2,65,47.7,93,39.1,105,50.2,,
,Cambodia,105,43.0,43,53.8,126,41.7,119,39.0,150,26.8,78,53.9,,
,Botswana,106,42.9,117,39.7,130,41.4,145,36.3,69,42.9,76,54.2,,
,Gabon,107,42.9,47,52.6,70,50.1,124,38.6,146,28.1,132,45.1,,
,Nicaragua,108,42.8,83,45.1,62,50.9,98,42.2,126,32.4,139,43.4,,
,Senegal,109,42.7,142,36.3,101,46.5,89,43.5,129,32.2,66,54.9,,
,Grenada,110,42.6,164,32.4,89,47.9,101,41.9,78,40.5,98,50.6,,
,Iran,111,42.5,101,41.5,180,23.4,106,40.9,30,52.5,75,54.2,,
,Sao Tome and Principe,112,42.4,120,39.5,55,51.6,90,43.4,112,35.9,150,41.5,,
,Bangladesh,113,42.3,133,38.2,49,53.0,102,41.8,164,21.5,54,57.1,,
,Saudi Arabia,114,42.3,140,36.9,175,25.9,52,50.0,62,44.0,68,54.6,,
,Vietnam,115,42.2,114,40.4,169,28.3,78,44.9,58,44.6,90,52.6,,
,Micronesia,116,42.1,146,35.6,45,53.5,164,33.4,104,37.3,100,50.5,,
,Oman,117,42.1,92,43.9,181,21.8,62,48.4,51,46.2,109,50.0,,
,Philippines,118,42.0,154,33.9,98,47.1,103,41.8,125,32.5,70,54.5,,
,Democratic Republic of Congo,119,41.8,23,58.5,5,61.4,171,32.6,178,16.6,159,39.8,,
,Tanzania,120,41.7,52,51.8,51,52.4,148,36.1,167,20.3,122,47.9,,
,Seychelles,121,41.7,174,28.6,164,30.2,60,48.8,63,43.9,56,57.0,,
,Guinea,122,41.6,76,46.2,36,54.2,130,37.8,152,26.5,141,43.4,,
,Mongolia,123,41.6,124,39.2,177,25.7,58,48.9,102,37.6,58,56.4,,
,Eswatini,124,41.5,118,39.7,96,47.3,166,33.2,55,45.2,146,42.2,,
,Burkina Faso,125,41.5,168,31.1,35,54.4,81,44.4,143,28.6,115,49.0,,
,Jamaica,126,41.5,126,38.8,105,45.8,105,41.0,110,36.3,129,45.5,,
,Equatorial Guinea,127,41.4,20,59.3,58,51.3,126,38.3,157,25.6,178,32.5,,
,Tunisia,128,41.4,175,28.6,151,36.0,86,43.8,42,48.8,111,49.6,,
,Papua New Guinea,129,41.2,16,60.1,33,54.6,127,38.2,175,17.2,171,36.1,,
,St. Kitts and Nevis,130,41.1,151,34.2,147,36.9,109,40.8,120,34.7,40,59.0,,
